Date,dengue_fever_case,Ch,Rh,t
2016-01,79,190.5,82.1,28.2
2016-02,85,258.9,84.4,27.5
2016-03,71,224.6,83.5,28.1
2016-04,63,307.2,82.0,28.5
2016-05,78,286.4,82.3,28.6
2016-06,69,260.3,80.7,28.0
2016-07,71,412.8,80.8,27.7
2016-08,42,321.2,80.1,27.7
2016-09,38,230.5,81.8,27.9
2016-10,20,311.1,81.5,27.5
2016-11,23,200.5,82.0,27.8
2016-12,16,66.1,80.7,27.4
2017-01,27,241.9,81.8,27.6
2017-02,26,444.4,87.9,26.4
2017-03,40,242.9,81.9,27.6
2017-04,16,278.7,80.6,27.7
2017-05,20,239.8,77.7,28.5
2017-06,19,135.8,78.8,28.1
2017-07,14,134.0,77.0,27.9
2017-08,19,43.0,71.2,28.3
2017-09,12,256.8,73.8,28.6
2017-10,12,318.9,77.9,28.1
2017-11,22,315.0,80.3,27.9
2017-12,19,208.3,80.6,27.8
2018-01,21,136.9,80.5,27.4
2018-02,27,191.9,82.0,27.2
2018-03,30,190.9,80.3,27.7
2018-04,34,223.3,92.7,28.0
2018-05,27,66.2,76.6,28.6
2018-06,25,210.9,76.8,28.1
2018-07,76,5.1,70.4,28.1
2018-08,20,4.1,67.6,28.5
2018-09,17,95.6,68.3,28.6
2018-10,09,169.6,71.3,29.6
2018-11,50,245.3,78.5,28.0
2018-12,148,191.1,78.7,27.8
2019-01,86,280.5,81.0,27.6
2019-02,49,123.0,79.9,28.1
2019-03,58,140.9,78.9,27.9
2019-04,58,296.3,78.9,28.6
2019-05,38,90.2,76.0,28.9
2019-06,27,48.5,72.8,28.7
2019-07,30,4.9,67.7,28.4
2019-08,24,27.1,67.0,28.2
2019-09,10,0.0,66.7,29.0
2019-10,07,15.6,67.2,29.9
2019-11,12,111.5,73.6,29.1
2019-12,18,259.7,80.2,28.0
2020-01,83,411.0,82.1,27.8
2020-02,107,354.9,83.8,27.4
2020-03,98,346.7,80.8,28.0
2020-04,52,460.4,80.7,28.1
2020-05,46,205.9,79.2,28.4
2020-06,35,56.7,75.2,28.6
2020-07,24,123.2,73.3,28.2
2020-08,14,100.1,72.0,28.5
2020-09,08,141.6,71.7,28.6
2020-10,06,232.6,77.1,27.9
2020-11,27,136.3,79.2,27.6
2020-12,17,79.1,78.6,27.4
2021-01,35,154.0,82.1,27.3
2021-02,27,519.9,84.1,27.3
2021-03,23,215.9,78.8,28.2
2021-04,36,114.8,77.2,28.4
2021-05,19,329.5,78.0,28.5
2021-06,12,350.2,81.1,27.7
2021-07,29,54.3,73.0,28.4
2021-08,30,220.8,74.6,28.8
2021-09,32,77.7,72.6,28.8
2021-10,43,88.2,74.0,28.6
2021-11,75,269.0,77.8,27.9
2021-12,76,226.9,81.7,27.8
2022-01,124,107.9,79.8,27.8
2022-02,42,165.9,80.0,27.5
2022-03,38,374.0,79.7,27.6
2022-04,38,222.5,78.9,27.7
2022-05,69,252.4,79.2,28.1
2022-06,79,337.3,80.8,27.3
2022-07,74,62.8,75.3,28.3
2022-08,62,113.3,74.6,28.3
2022-09,58,353.5,78.9,27.8
2022-10,56,283.0,80.8,27.7
2022-11,73,226.6,80.9,27.7
2022-12,43,282.7,81.2,27.4
